iter	RMSE
0	3140.950902
1	3136.710126
2	3132.51626
3	3128.322113
4	3124.274376
5	3120.304073
6	3116.552599
7	3112.746001
8	3109.114748
9	3105.41295
10	3101.912463
11	3098.201011
12	3094.762466
13	3091.255216
14	3087.996054
15	3084.711852
16	3081.430831
17	3077.885305
18	3074.689445
19	3071.447773
20	3068.382165
21	3065.32957
22	3062.387314
23	3059.401236
24	3056.47699
25	3053.584177
26	3050.852702
27	3048.24627
28	3045.476233
29	3042.866507
30	3040.422125
31	3037.886243
32	3035.508501
33	3032.895631
34	3030.572441
35	3028.169647
36	3025.736343
37	3023.305435
38	3020.736102
39	3018.475667
40	3016.15879
41	3014.031091
42	3011.878702
43	3009.714213
44	3007.567873
45	3005.539267
46	3003.551119
47	3001.510303
48	2999.575547
49	2997.597917
50	2995.535372
51	2993.444572
52	2991.805212
53	2990.010349
54	2988.021625
55	2986.309578
56	2984.541845
57	2982.641723
58	2980.908259
59	2979.128129
60	2977.650114
61	2976.044066
62	2974.544622
63	2973.143637
64	2971.656853
65	2970.035602
66	2968.574017
67	2966.933449
68	2965.478807
69	2963.894423
70	2962.567779
71	2961.192132
72	2959.757769
73	2958.427465
74	2956.965642
75	2955.62288
76	2954.42979
77	2953.236105
78	2952.062696
79	2950.718684
80	2949.387534
81	2948.245516
82	2947.097592
83	2945.961626
84	2944.748133
85	2943.498455
86	2942.295133
87	2941.204046
88	2940.279464
89	2939.170509
90	2938.107596
91	2937.021361
92	2936.040374
93	2934.947855
94	2934.073152
95	2933.043461
96	2932.100943
97	2931.197752
98	2930.301781
99	2929.38065
100	2928.521461
101	2927.652245
102	2926.687688
103	2925.826121
104	2924.983768
105	2924.070495
106	2923.203299
107	2922.31975
108	2921.509397
109	2920.72513
110	2919.912521
111	2919.078916
112	2918.289029
113	2917.497191
114	2916.768699
115	2915.988432
116	2915.216331
117	2914.464294
118	2913.761779
119	2913.221715
120	2912.466837
121	2911.783561
122	2911.168038
123	2910.516861
124	2909.861776
125	2909.237079
126	2908.594509
127	2907.956468
128	2907.398648
129	2906.788788
130	2906.196792
131	2905.60266
132	2905.052718
133	2904.518004
134	2903.95829
135	2903.434514
136	2902.921869
137	2902.406816
138	2901.86852
139	2901.373579
140	2900.888887
141	2900.446684
142	2900.008762
143	2899.486205
144	2899.009336
145	2898.546164
146	2898.077479
147	2897.629607
148	2897.113985
149	2896.628064
150	2896.168897
151	2895.729374
152	2895.271207
153	2894.822004
154	2894.36971
155	2893.914452
156	2893.485858
157	2893.086587
158	2892.725169
159	2892.329197
160	2891.854229
161	2891.473411
162	2891.109951
163	2890.719429
164	2890.276437
165	2889.870978
166	2889.44544
167	2889.12868
168	2888.746682
169	2888.393363
170	2888.079053
171	2887.702781
172	2887.353376
173	2887.017575
174	2886.670364
175	2886.339652
176	2885.999822
177	2885.687631
178	2885.384423
179	2885.049781
180	2884.76162
181	2884.452553
182	2884.147683
183	2883.892442
184	2883.535814
185	2883.280667
186	2882.9762
187	2882.712043
188	2882.420623
189	2882.180387
190	2881.931004
191	2881.689507
192	2881.407169
193	2881.158522
194	2880.896459
195	2880.6513
196	2880.404367
197	2880.151839
198	2879.896092
199	2879.660973
200	2879.438157
201	2879.158316
202	2878.879308
203	2878.602555
204	2878.373864
205	2878.107328
206	2877.872733
207	2877.669106
208	2877.478433
209	2877.279916
210	2877.078112
211	2876.866278
212	2876.696872
213	2876.473368
214	2876.231128
215	2875.987029
216	2875.740231
217	2875.534841
218	2875.302219
219	2875.101103
220	2874.893383
221	2874.668769
222	2874.450067
223	2874.274928
224	2874.082237
225	2873.876076
226	2873.688314
227	2873.496247
228	2873.288764
229	2873.11458
230	2872.907174
231	2872.710268
232	2872.546604
233	2872.355465
234	2872.178264
235	2872.000204
236	2871.846688
237	2871.70675
238	2871.516503
239	2871.339518
240	2871.103287
241	2870.959637
242	2870.771764
243	2870.601412
244	2870.446317
245	2870.300092
246	2870.138163
247	2869.969748
248	2869.797739
249	2869.660685
250	2869.526383
251	2869.382252
252	2869.198388
253	2869.053161
254	2868.898829
255	2868.763971
256	2868.590028
257	2868.45054
258	2868.31147
259	2868.120436
260	2867.974658
261	2867.79457
262	2867.655609
263	2867.479994
264	2867.363304
265	2867.204925
266	2867.033873
267	2866.912276
268	2866.788102
269	2866.676864
270	2866.529875
271	2866.405372
272	2866.297951
273	2866.123634
274	2866.02375
275	2865.912442
276	2865.783001
277	2865.705702
278	2865.598356
279	2865.436163
280	2865.306799
281	2865.218248
282	2865.011249
283	2864.900895
284	2864.800493
285	2864.661414
286	2864.538843
287	2864.428132
288	2864.320589
289	2864.199733
290	2864.088901
291	2863.970401
292	2863.88096
293	2863.747841
294	2863.667786
295	2863.546614
296	2863.459009
297	2863.36459
298	2863.235432
299	2863.13524
300	2863.024951
301	2862.897282
302	2862.809455
303	2862.726634
304	2862.628792
305	2862.503243
306	2862.40005
307	2862.310608
308	2862.186922
309	2862.085961
310	2861.998289
311	2861.909381
312	2861.785822
313	2861.710649
314	2861.613206
315	2861.531232
316	2861.444029
317	2861.34343
318	2861.20874
319	2861.060641
320	2860.981857
321	2860.879884
322	2860.77796
323	2860.687768
324	2860.588546
325	2860.548651
326	2860.462491
327	2860.373406
328	2860.25328
329	2860.160098
330	2860.089913
331	2860.007153
332	2859.933595
333	2859.857718
334	2859.766706
335	2859.683325
336	2859.574992
337	2859.471218
338	2859.391025
339	2859.277106
340	2859.203327
341	2859.116502
342	2859.041582
343	2858.969813
344	2858.875867
345	2858.814659
346	2858.713096
347	2858.63102
348	2858.542293
349	2858.480835
350	2858.40407
351	2858.247444
352	2858.18396
353	2858.118675
354	2858.028709
355	2857.930493
356	2857.864247
357	2857.769504
358	2857.667415
359	2857.600122
360	2857.520557
361	2857.444054
362	2857.390719
363	2857.334253
364	2857.281407
365	2857.208443
366	2857.132277
367	2857.054061
368	2856.981123
369	2856.916322
370	2856.827665
371	2856.717227
372	2856.656351
373	2856.597509
374	2856.534093
375	2856.474713
376	2856.403927
377	2856.331141
378	2856.265277
379	2856.190496
380	2856.068893
381	2855.980094
382	2855.907245
383	2855.772156
384	2855.695078
385	2855.63893
386	2855.575648
387	2855.503341
388	2855.410817
389	2855.330701
390	2855.248709
391	2855.113262
392	2855.026616
393	2854.950841
394	2854.892681
395	2854.855518
396	2854.777778
397	2854.689176
398	2854.635283
399	2854.555045
400	2854.503602
401	2854.430892
402	2854.369401
403	2854.310599
404	2854.278034
405	2854.223237
406	2854.156551
407	2854.112442
408	2854.07279
409	2854.045564
410	2853.972163
411	2853.927219
412	2853.850353
413	2853.758643
414	2853.680607
415	2853.62106
416	2853.565152
417	2853.510678
418	2853.461985
419	2853.406257
420	2853.362348
421	2853.306628
422	2853.264882
423	2853.151017
424	2853.106925
425	2853.052558
426	2852.989406
427	2852.927398
428	2852.879604
429	2852.826687
430	2852.766374
431	2852.680288
432	2852.607521
433	2852.528129
434	2852.445866
435	2852.402081
436	2852.344819
437	2852.299101
438	2852.22016
439	2852.174492
440	2852.127797
441	2852.053127
442	2851.997785
443	2851.934465
444	2851.88938
445	2851.840593
446	2851.791903
447	2851.718048
448	2851.671333
449	2851.629714
450	2851.560611
451	2851.494162
452	2851.447915
453	2851.384091
454	2851.322803
455	2851.250954
456	2851.219551
457	2851.180538
458	2851.127322
459	2851.086222
460	2851.032884
461	2850.976174
462	2850.925895
463	2850.873965
464	2850.822216
465	2850.779767
466	2850.729198
467	2850.709482
468	2850.593458
469	2850.542224
470	2850.470793
471	2850.422806
472	2850.368736
473	2850.298576
474	2850.244347
475	2850.200312
476	2850.147308
477	2850.024477
478	2849.98826
479	2849.912515
480	2849.819567
481	2849.770833
482	2849.743266
483	2849.693045
484	2849.660353
485	2849.59283
486	2849.533947
487	2849.495469
488	2849.434214
489	2849.386935
490	2849.30903
491	2849.260638
492	2849.224942
493	2849.180641
494	2849.124603
495	2849.074696
496	2849.041708
497	2848.982944
498	2848.936632
499	2848.887332
500	2848.827779
501	2848.784733
502	2848.745058
503	2848.711314
504	2848.671833
505	2848.595152
506	2848.557207
507	2848.499406
508	2848.446661
509	2848.429968
510	2848.379373
511	2848.353185
512	2848.299056
513	2848.266356
514	2848.22047
515	2848.129668
516	2848.011176
517	2847.943539
518	2847.873333
519	2847.821699
520	2847.780953
521	2847.717175
522	2847.652098
523	2847.628851
524	2847.582623
525	2847.551437
526	2847.494184
527	2847.435633
528	2847.381444
529	2847.292899
530	2847.254014
531	2847.179783
532	2847.135219
533	2847.110868
534	2847.045916
535	2846.992398
536	2846.934271
537	2846.883851
538	2846.843701
539	2846.793888
540	2846.76521
541	2846.710654
542	2846.659994
543	2846.595017
544	2846.562593
545	2846.518858
546	2846.493442
547	2846.477654
548	2846.419115
549	2846.357387
550	2846.312724
551	2846.242906
552	2846.207366
553	2846.146257
554	2846.130103
555	2846.084686
556	2846.032275
557	2846.009195
558	2845.96644
559	2845.92352
560	2845.878563
561	2845.832132
562	2845.783533
563	2845.750211
564	2845.667506
565	2845.652334
566	2845.628702
567	2845.578623
568	2845.537395
569	2845.50912
570	2845.476815
571	2845.452811
572	2845.431959
573	2845.378789
574	2845.346031
575	2845.327252
576	2845.258647
577	2845.223627
578	2845.147339
579	2845.131129
580	2845.083336
581	2845.036684
582	2845.013433
583	2844.988937
584	2844.927047
585	2844.875621
586	2844.833221
587	2844.72858
588	2844.712488
589	2844.658888
590	2844.616466
591	2844.579426
592	2844.542876
593	2844.524913
594	2844.509894
595	2844.452052
596	2844.429971
597	2844.385558
598	2844.365491
599	2844.340512
600	2844.300829
601	2844.26367
602	2844.236126
603	2844.210542
604	2844.181301
605	2844.153305
606	2844.109894
607	2844.041838
608	2844.013466
609	2843.993465
610	2843.975914
611	2843.951948
612	2843.89238
613	2843.86549
614	2843.827361
615	2843.802438
616	2843.787801
617	2843.765453
618	2843.72235
619	2843.676625
620	2843.630049
621	2843.574547
622	2843.553786
623	2843.507858
624	2843.481258
625	2843.458225
626	2843.385803
627	2843.345717
628	2843.325709
629	2843.290228
630	2843.269099
631	2843.223195
632	2843.18194
633	2843.16797
634	2843.131792
635	2843.087152
636	2843.020798
637	2842.990113
638	2842.954686
639	2842.931043
640	2842.88584
641	2842.850393
642	2842.823095
643	2842.807024
644	2842.753984
645	2842.673144
646	2842.615789
647	2842.550071
648	2842.509625
649	2842.440778
650	2842.402812
651	2842.370985
652	2842.327971
653	2842.290291
654	2842.246099
655	2842.212279
656	2842.19627
657	2842.173133
658	2842.160109
659	2842.120215
660	2842.076472
661	2842.006558
662	2841.968736
663	2841.93818
664	2841.851078
665	2841.81552
666	2841.775517
667	2841.724022
668	2841.689992
669	2841.654296
670	2841.614221
671	2841.511758
672	2841.48844
673	2841.445017
674	2841.424218
675	2841.376377
676	2841.340895
677	2841.30147
678	2841.206117
679	2841.177929
680	2841.127661
681	2841.106565
682	2841.056583
683	2841.041027
684	2841.01248
685	2840.982835
686	2840.942149
687	2840.928877
688	2840.917908
689	2840.881946
690	2840.863485
691	2840.850665
692	2840.820175
693	2840.786417
694	2840.755841
695	2840.725248
696	2840.693696
697	2840.630785
698	2840.603508
699	2840.552702
700	2840.51323
701	2840.470877
702	2840.453732
703	2840.42743
704	2840.399105
705	2840.340254
706	2840.307974
707	2840.291454
708	2840.268411
709	2840.252379
710	2840.203534
711	2840.174115
712	2840.153392
713	2840.11109
714	2840.06259
715	2840.019957
716	2839.986345
717	2839.962545
718	2839.938134
719	2839.903112
720	2839.892461
721	2839.85837
722	2839.8128
723	2839.775132
724	2839.725517
725	2839.694429
726	2839.631424
727	2839.608369
728	2839.572187
729	2839.551741
730	2839.475355
731	2839.461957
732	2839.432884
733	2839.39462
734	2839.375052
735	2839.353474
736	2839.340636
737	2839.32069
738	2839.29157
739	2839.254268
740	2839.241864
741	2839.1968
742	2839.151538
743	2839.117067
744	2839.085392
745	2839.017274
746	2839.005527
747	2838.955189
748	2838.913759
749	2838.851392
750	2838.809662
751	2838.787944
752	2838.768121
753	2838.744442
754	2838.717942
755	2838.692127
756	2838.651782
757	2838.621997
758	2838.58023
759	2838.542578
760	2838.530541
761	2838.519382
762	2838.447158
763	2838.418273
764	2838.378983
765	2838.345927
766	2838.305133
767	2838.264628
768	2838.246049
769	2838.21282
770	2838.177924
771	2838.160609
772	2838.132606
773	2838.097074
774	2838.067294
775	2838.03362
776	2838.01459
777	2837.973418
778	2837.946641
779	2837.934172
780	2837.905068
781	2837.892487
782	2837.864821
783	2837.846194
784	2837.81687
785	2837.785852
786	2837.760073
787	2837.732253
788	2837.683867
789	2837.641525
790	2837.632225
791	2837.612275
792	2837.579674
793	2837.550485
794	2837.530312
795	2837.506411
796	2837.472884
797	2837.441376
798	2837.407273
799	2837.398575
