iter	Passed	Remaining
0	145	115967
1	150	59885
2	155	41207
3	160	31906
4	165	26305
5	170	22566
6	175	19865
7	179	17812
8	184	16207
9	189	14970
10	194	13934
11	198	13067
12	204	12384
13	209	11783
14	214	11236
15	219	10762
16	224	10345
17	229	9967
18	234	9642
19	239	9336
20	244	9060
21	249	8828
22	254	8601
23	259	8392
24	264	8200
25	269	8028
26	274	7865
27	279	7719
28	285	7601
29	291	7477
30	296	7354
31	302	7252
32	307	7143
33	312	7042
34	317	6940
35	322	6847
36	327	6762
37	333	6681
38	338	6613
39	346	6591
40	353	6549
41	360	6502
42	366	6444
43	372	6391
44	378	6352
45	385	6310
46	392	6284
47	398	6244
48	404	6202
49	410	6152
50	415	6106
51	421	6059
52	427	6019
53	433	5994
54	440	5962
55	446	5932
56	452	5900
57	458	5865
58	464	5828
59	469	5787
60	475	5757
61	481	5730
62	487	5700
63	493	5670
64	499	5653
65	505	5621
66	511	5597
67	517	5568
68	523	5542
69	529	5526
70	535	5503
71	542	5482
72	548	5460
73	554	5442
74	560	5419
75	567	5401
76	573	5383
77	578	5358
78	584	5335
79	590	5316
80	597	5303
81	603	5282
82	610	5274
83	619	5282
84	626	5270
85	631	5246
86	639	5237
87	646	5227
88	653	5218
89	659	5203
90	664	5180
91	672	5171
92	677	5148
93	683	5132
94	690	5121
95	696	5105
96	702	5089
97	708	5074
98	714	5056
99	719	5034
100	724	5013
101	729	4995
102	735	4977
103	741	4962
104	746	4943
105	752	4927
106	758	4912
107	764	4896
108	769	4880
109	775	4865
110	782	4855
111	787	4838
112	792	4818
113	798	4806
114	806	4801
115	811	4787
116	824	4810
117	829	4793
118	834	4774
119	839	4757
120	845	4743
121	851	4731
122	858	4723
123	864	4711
124	869	4696
125	874	4677
126	879	4662
127	885	4648
128	890	4634
129	896	4621
130	902	4607
131	907	4590
132	913	4579
133	918	4566
134	924	4554
135	930	4544
136	938	4542
137	944	4533
138	950	4521
139	956	4509
140	962	4498
141	967	4485
142	973	4471
143	979	4460
144	984	4447
145	990	4434
146	995	4420
147	1007	4438
148	1014	4434
149	1027	4453
150	1034	4446
151	1041	4440
152	1048	4435
153	1055	4429
154	1062	4423
155	1068	4410
156	1074	4400
157	1080	4389
158	1085	4375
159	1090	4363
160	1095	4349
161	1101	4338
162	1106	4325
163	1111	4312
164	1117	4302
165	1123	4289
166	1128	4276
167	1132	4261
168	1137	4246
169	1142	4232
